empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid
16,7,d577ae3fa5542a100948e4c54cba8f18,40.6691783,-73.9554162,Union St & Bedford Ave,2022-12-05T01:39:36.209000Z,1,True,1670204298,"['creditcard', 'key']",True,1,1,24,3585
16,2,bf15eefc998dc8bf6d95dc4d4aeb330e,40.7638753,-73.9364848,34 Ave & 13 St,2022-12-05T01:39:36.210000Z,2,True,1670201348,"['creditcard', 'key']",True,1,1,19,3586
16,5,4449cb908b55ad07a725cc4c1412baac,40.70853074,-73.96408963,Bedford Ave & S 9 St,2022-12-05T01:39:36.621000Z,0,True,1670204015,"['creditcard', 'key']",True,1,1,23,443
27,4,141163c2b3b7cee1e063f53191c19095,40.75255434,-73.97282625,E 45 St & 3 Ave,2022-12-05T01:39:36.622000Z,0,True,1670204083,"['creditcard', 'key']",True,1,1,32,440
73,34,e99f3e89fa8216f552ec1b01f29e4077,40.72740794,-73.98142006,E 10 St & Avenue A,2022-12-05T01:39:36.625000Z,6,True,1670203264,"['creditcard', 'key']",True,1,1,107,445
35,5,177ac66dec88695ba730f8b5d04850db,40.76873687,-73.96119945,3 Ave & E 71 St,2022-12-05T01:39:36.737000Z,0,True,1670204322,"['creditcard', 'key']",True,1,1,42,3152
17,27,1ddfe7ef2cc8b16bda7e139c2ae76d2b,40.7728384,-73.94989233,E 81 St & York Ave,2022-12-05T01:39:36.738000Z,7,True,1670203986,"['creditcard', 'key']",True,1,1,47,3151
17,8,810dc23919af68173dfd16361a217b07,40.7190095,-73.95852515,Berry St & N 8 St,2022-12-05T01:39:36.626000Z,0,True,1670203451,"['creditcard', 'key']",True,1,1,27,3092
24,3,f42e23b1d89191f08ff849055dd9d411,40.71745169,-73.95850939,N 6 St & Bedford Ave,2022-12-05T01:39:36.626000Z,1,True,1670204229,"['creditcard', 'key']",True,1,1,28,3093
4,34,c7479c9a2a0cc60e199bffe89ad2cbcc,40.71924,-73.95242,Union Ave & N 12 St,2022-12-05T01:39:36.627000Z,0,True,1670203239,"['creditcard', 'key']",True,1,1,39,3096
6,20,5f7338a7df326201bdb40c3a305e3fb6,40.71929301,-73.94500379,Graham Ave & Herbert St,2022-12-05T01:39:36.629000Z,2,True,1670203612,"['creditcard', 'key']",True,1,1,26,3095
14,10,8c3b74f9dc3ad4b96966efcf949bdfd7,40.68216564,-73.95399026,Hancock St & Bedford Ave,2022-12-05T01:39:35.681000Z,6,True,1670204147,"['creditcard', 'key']",True,1,1,27,436
22,1,4a1c8658155444641bdb4e418fa30794,40.6809833854,-73.9500479759,Macon St & Nostrand Ave,2022-12-05T01:39:35.682000Z,1,True,1670202812,"['creditcard', 'key']",True,1,1,24,437
36,36,b514523a295a23616e434d2b7fcd308d,40.74173969,-73.99415556,W 21 St & 6 Ave,2022-12-05T01:39:35.684000Z,3,True,1670204348,"['creditcard', 'key']",True,1,1,74,435
1,15,7904c5b866ef0c09101e84fdda91e11c,40.70538,-73.92535,Irving Ave & Jefferson St,2022-12-05T01:39:35.539000Z,2,True,1670203120,"['creditcard', 'key']",True,1,1,19,3759
5,22,68d2b9e52ce081a319bdad2514ea2463,40.72903917,-73.99404649,Washington Pl & Broadway,2022-12-05T01:39:36.632000Z,7,True,1670203837,"['creditcard', 'key']",True,1,1,27,335
10,30,5f5b167751bfb54c354d9ca2a527f09e,40.74238787,-73.99726235,W 20 St & 7 Ave,2022-12-05T01:39:36.632000Z,5,True,1670204098,"['creditcard', 'key']",True,1,1,44,334
2,25,506ef3941933df4d38b00a3ae3fae8f2,40.71173107,-73.99193043,Pike St & Monroe St,2022-12-05T01:39:36.634000Z,1,True,1670202790,"['creditcard', 'key']",True,1,1,27,331
15,26,b6d8f527e18cf6480eee00936e1b6e82,40.71450451,-74.00562789,Reade St & Broadway,2022-12-05T01:39:36.635000Z,1,True,1670203355,"['creditcard', 'key']",True,1,1,42,330
0,28,a350375466cc6ca0ebb140916c3a2257,40.71219906,-73.97948148,Cherry St,2022-12-05T01:39:36.636000Z,17,True,1670204154,"['creditcard', 'key']",True,1,1,36,332
4,24,c5ae12324e657ff1f5a2a702a573f56a,40.686371,-73.99383324,Warren St & Court St,2022-12-05T01:39:36.227000Z,0,True,1670197960,"['creditcard', 'key']",True,1,1,31,3298
23,1,b8235d3025c1626351d5291f4f5e14b3,40.78813,-73.95206,E 98 St & Park Ave,2022-12-05T01:39:36.228000Z,0,True,1670203493,"['creditcard', 'key']",True,1,1,25,3299
63,9,ebb1cf8510ded98f7e9ee8cf76a9ea28,40.782454175279874,-73.9489196240902,E 93 St & 2 Ave,2022-12-05T01:39:36.230000Z,1,True,1670203575,"['creditcard', 'key']",True,1,1,73,3296
31,9,41be925876fad3fdf5107322fcae7dd8,40.7857851,-73.957481,5 Ave & E 93 St,2022-12-05T01:39:36.232000Z,6,True,1670202941,"['creditcard', 'key']",True,1,1,43,3292
18,3,0bda8150467a951310434df139d9e32e,40.7921,-73.9739,W 92 St & Broadway,2022-12-05T01:39:36.233000Z,3,True,1670203992,"['creditcard', 'key']",True,1,1,24,3293
0,43,21a780d76029121d494a44fc546334e0,40.71915571696044,-73.94885390996933,Bayard St & Leonard St,2022-12-05T01:39:36.234000Z,5,True,1670200456,"['creditcard', 'key']",True,1,1,43,3452
9,10,1909fdefee61c79081ff155421ce2448,40.71335226222875,-73.9491033554077,Devoe St & Lorimer St,2022-12-05T01:39:36.235000Z,3,True,1670203588,"['creditcard', 'key']",True,1,1,19,3453
29,5,479a4d7c88a5cbea3a6a7d68264808e0,40.808442,-73.9452087,Lenox Ave & W 126 St,2022-12-05T01:39:35.345000Z,2,True,1670203981,"['creditcard', 'key']",True,1,1,34,3518
1,20,ca5e1b633e2b93ce75ec83b3cfe316e6,40.71638031973561,-73.94821286201477,Jackson St & Leonard St,2022-12-05T01:39:36.235000Z,3,True,1670204287,"['creditcard', 'key']",True,1,1,22,3456
