empty_slots,free_bikes,id,latitude,longitude,name_x,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid,lat_long,fsq_id,cat_id,category_name,categories,name_y,distance,longtitude,address,popularity,open_now,rating,rating_count,my_timestamp
18.0,23.0,5ba135e7eb13cb933f2fcaca980276b5,40.7612274,-73.96094022,1 Ave & E 62 St,2022-12-05T01:39:36.602000Z,0.0,True,1670203666.0,"['creditcard', 'key']",True,1.0,1.0,45.0,3142.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
29.0,8.0,91e510ea32dfbee99aa27395695b457d,40.77632142182271,-73.96427392959595,5 Ave & E 78 St,2022-12-05T01:39:36.603000Z,2.0,True,1670200991.0,"['creditcard', 'key']",True,1.0,1.0,47.0,3143.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
3.0,10.0,0c31a89981605645db5d73705b766bac,40.68650065,-73.96563307,Washington Ave & Greene Ave,2022-12-05T01:39:35.333000Z,3.0,True,1670204036.0,"['creditcard', 'key']",True,1.0,1.0,19.0,275.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
4.0,15.0,f3a68c3b4b6614f7c5c706b96c867386,40.69766564,-73.98476437,Concord St & Bridge St,2022-12-05T01:39:35.336000Z,3.0,True,1670204041.0,"['creditcard', 'key']",True,1.0,1.0,19.0,278.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
8.0,10.0,fe77d499d0064660a936aa00f1519bb2,40.72755146730012,-74.07106071710587,Glenwood Ave,2022-12-05T01:39:36.203000Z,2.0,True,1670184145.0,"['creditcard', 'key']",True,1.0,1.0,18.0,3677.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
1.0,24.0,0eb723b81edb20e3c37f880c08349b69,40.70140317257725,-73.98672670125961,Jay St & York St,2022-12-05T01:39:36.203000Z,1.0,True,1670199309.0,"['creditcard', 'key']",True,1.0,1.0,27.0,3674.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
11.0,12.0,b403bf73c64da4222ff782e461c685ea,40.7934337,-73.94945003,E 106 St & Madison Ave,2022-12-05T01:39:36.609000Z,0.0,True,1670201730.0,"['creditcard', 'key']",True,1.0,1.0,25.0,3387.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
22.0,2.0,7f71de48a1ae570569fa1246d05f5a7a,40.6787242,-73.99599099,Smith St & 3 St,2022-12-05T01:39:36.609000Z,0.0,True,1670202267.0,"['creditcard', 'key']",True,1.0,1.0,25.0,3384.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
17.0,8.0,d8cc1bee00e38a208fe6a86d56e1899c,40.804213,-73.96699104,Cathedral Pkwy & Broadway,2022-12-05T01:39:36.611000Z,2.0,True,1670203983.0,"['creditcard', 'key']",True,1.0,1.0,25.0,3383.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
39.0,13.0,41fe4253b2718d27817c0327887bf19a,40.6777287,-73.99364123,3 St & Hoyt St,2022-12-05T01:39:36.612000Z,0.0,True,1670200289.0,"['creditcard', 'key']",True,1.0,1.0,53.0,3381.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
7.0,51.0,3b6d288572e702d96fe3a28c150adc1b,40.75594159,-74.0021163,W 34 St & 11 Ave,2022-12-05T01:39:35.657000Z,1.0,True,1670202153.0,"['creditcard', 'key']",True,1.0,1.0,60.0,525.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
14.0,19.0,6563287f413683fd05df03545ae7dc07,40.74765947,-73.98490707,E 33 St & 5 Ave,2022-12-05T01:39:35.658000Z,16.0,True,1670203755.0,"['creditcard', 'key']",True,1.0,1.0,40.0,526.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
65.0,8.0,794d5d269c3cec97db767f747a12594f,40.75714758,-73.97207836,E 51 St & Lexington Ave,2022-12-05T01:39:35.659000Z,0.0,True,1670198042.0,"['creditcard', 'key']",True,1.0,1.0,75.0,522.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
15.0,16.0,80e56214df3108c1777ec61c3a79a63b,40.74290902,-73.97706058,2 Ave & E 31 St,2022-12-05T01:39:35.662000Z,1.0,True,1670204332.0,"['creditcard', 'key']",True,1.0,1.0,39.0,528.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
29.0,0.0,810be6dc6e1af5fd4e2c3853f9c5d7ed,40.6737236,-73.9631611,St Johns Pl & Washington Ave,2022-12-05T01:39:36.206000Z,0.0,True,1670199321.0,"['creditcard', 'key']",True,1.0,1.0,30.0,3580.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
26.0,1.0,a7638c15dde84c27b842458a7aa12d6a,40.6740123,-73.9671457,Underhill Ave & Lincoln Pl,2022-12-05T01:39:36.206000Z,1.0,True,1670203655.0,"['creditcard', 'key']",True,1.0,1.0,27.0,3581.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
24.0,2.0,b298d4e026b8cace01b5c031c9c0a8bd,40.6721683,-73.9609,Lincoln Pl & Classon Ave,2022-12-05T01:39:36.207000Z,2.0,True,1670200684.0,"['creditcard', 'key']",True,1.0,1.0,28.0,3582.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
16.0,7.0,d577ae3fa5542a100948e4c54cba8f18,40.6691783,-73.9554162,Union St & Bedford Ave,2022-12-05T01:39:36.209000Z,1.0,True,1670204298.0,"['creditcard', 'key']",True,1.0,1.0,24.0,3585.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
16.0,2.0,bf15eefc998dc8bf6d95dc4d4aeb330e,40.7638753,-73.9364848,34 Ave & 13 St,2022-12-05T01:39:36.210000Z,2.0,True,1670201348.0,"['creditcard', 'key']",True,1.0,1.0,19.0,3586.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
16.0,5.0,4449cb908b55ad07a725cc4c1412baac,40.70853074,-73.96408963,Bedford Ave & S 9 St,2022-12-05T01:39:36.621000Z,0.0,True,1670204015.0,"['creditcard', 'key']",True,1.0,1.0,23.0,443.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
27.0,4.0,141163c2b3b7cee1e063f53191c19095,40.75255434,-73.97282625,E 45 St & 3 Ave,2022-12-05T01:39:36.622000Z,0.0,True,1670204083.0,"['creditcard', 'key']",True,1.0,1.0,32.0,440.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
73.0,34.0,e99f3e89fa8216f552ec1b01f29e4077,40.72740794,-73.98142006,E 10 St & Avenue A,2022-12-05T01:39:36.625000Z,6.0,True,1670203264.0,"['creditcard', 'key']",True,1.0,1.0,107.0,445.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
35.0,5.0,177ac66dec88695ba730f8b5d04850db,40.76873687,-73.96119945,3 Ave & E 71 St,2022-12-05T01:39:36.737000Z,0.0,True,1670204322.0,"['creditcard', 'key']",True,1.0,1.0,42.0,3152.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
17.0,27.0,1ddfe7ef2cc8b16bda7e139c2ae76d2b,40.7728384,-73.94989233,E 81 St & York Ave,2022-12-05T01:39:36.738000Z,7.0,True,1670203986.0,"['creditcard', 'key']",True,1.0,1.0,47.0,3151.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
17.0,8.0,810dc23919af68173dfd16361a217b07,40.7190095,-73.95852515,Berry St & N 8 St,2022-12-05T01:39:36.626000Z,0.0,True,1670203451.0,"['creditcard', 'key']",True,1.0,1.0,27.0,3092.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
